Id,Name,AUTO,ES27,ES64,WEEK_AHEAD,BEST_WIS,MEAN_WIS
1,Alabama,58.15,59.609,60.153,1,AUTO,59.304
1,Alabama,127.892,131.62,132.783,2,AUTO,130.765
1,Alabama,198.252,205.206,205.702,3,AUTO,203.0533333
1,Alabama,260.93,273.896,274.173,4,AUTO,269.6663333
2,Alaska,10.517,10.209,10.754,1,ES27,10.49333333
2,Alaska,18.167,17.858,18.828,2,ES27,18.28433333
2,Alaska,22.722,22.384,23.172,3,ES27,22.75933333
2,Alaska,27.079,26.565,27.235,4,ES27,26.95966667
3,Arizona,23.338,23.294,23.86,1,ES27,23.49733333
3,Arizona,48.064,47.386,48.084,2,ES27,47.84466667
3,Arizona,63.439,61.696,62.175,3,ES27,62.43666667
3,Arizona,78.839,76.834,77.236,4,ES27,77.63633333
4,Arkansas,15.66,15.966,16.387,1,AUTO,16.00433333
4,Arkansas,28.431,28.323,28.96,2,ES27,28.57133333
4,Arkansas,38.162,37.77,37.765,3,ES64,37.899
4,Arkansas,47.684,46.971,45.495,4,ES64,46.71666667
5,California,56.953,58.576,58.812,1,AUTO,58.11366667
5,California,125.08,123.437,123.272,2,ES64,123.9296667
5,California,191.557,186.686,184.346,3,ES64,187.5296667
5,California,253.679,241.125,235.99,4,ES64,243.598
6,Colorado,43.468,43.07,43.317,1,ES27,43.285
6,Colorado,68.751,67.769,67.47,2,ES64,67.99666667
6,Colorado,98.352,96.437,95.599,3,ES64,96.796
6,Colorado,123.997,120.927,120.168,4,ES64,121.6973333
7,Connecticut,34.108,34.484,34.013,1,ES64,34.20166667
7,Connecticut,60.862,60.399,61.028,2,ES27,60.763
7,Connecticut,84.398,88.489,87.607,3,AUTO,86.83133333
7,Connecticut,106.179,116.24,112.783,4,AUTO,111.734
8,Delaware,4.945,4.842,4.933,1,ES27,4.906666667
8,Delaware,8.614,8.723,8.742,2,AUTO,8.693
8,Delaware,10.866,11.342,11.167,3,AUTO,11.125
8,Delaware,12.882,13.868,13.522,4,AUTO,13.424
9,District of Columbia,39.417,37.487,37.653,1,ES27,38.18566667
9,District of Columbia,48.51,47.249,47.33,2,ES27,47.69633333
9,District of Columbia,54.456,52.723,52.868,3,ES27,53.349
9,District of Columbia,60.675,57.981,59.17,4,ES27,59.27533333
11,Georgia,92.95,91.671,93.42,1,ES27,92.68033333
11,Georgia,181.001,183.435,181.895,2,AUTO,182.1103333
11,Georgia,301.611,308.641,303.085,3,AUTO,304.4456667
11,Georgia,406.565,419.406,410.729,4,AUTO,412.2333333
12,Hawaii,8.414,8.609,9.009,1,AUTO,8.677333333
12,Hawaii,16.167,15.312,15.737,2,ES27,15.73866667
12,Hawaii,21.64,20.117,20.191,3,ES27,20.64933333
12,Hawaii,24.498,24.187,24.204,4,ES27,24.29633333
13,Idaho,7.634,7.534,7.493,1,ES64,7.553666667
13,Idaho,12.759,12.565,12.474,2,ES64,12.59933333
13,Idaho,16.431,16.275,16.048,3,ES64,16.25133333
13,Idaho,19.329,19.456,18.826,4,ES64,19.20366667
14,Illinois,48.8,51.029,51.067,1,AUTO,50.29866667
14,Illinois,109.645,106.582,106.413,2,ES64,107.5466667
14,Illinois,174.258,170.189,164.943,3,ES64,169.7966667
14,Illinois,232.271,226.95,216.885,4,ES64,225.3686667
15,Indiana,20.075,20.557,20.809,1,AUTO,20.48033333
15,Indiana,37.399,38.096,38.846,2,AUTO,38.11366667
15,Indiana,51.25,51.937,52.95,3,AUTO,52.04566667
15,Indiana,63.361,63.918,65.117,4,AUTO,64.132
16,Iowa,7.757,7.597,7.518,1,ES64,7.624
16,Iowa,15.438,15.265,15.264,2,ES64,15.32233333
16,Iowa,19.784,20.025,19.909,3,AUTO,19.906
16,Iowa,23.2,24.093,23.683,4,AUTO,23.65866667
17,Kansas,21.522,22.899,23.108,1,AUTO,22.50966667
17,Kansas,34.439,36.096,36.526,2,AUTO,35.687
17,Kansas,48.443,51.454,51.195,3,AUTO,50.364
17,Kansas,61.008,67.715,65.56,4,AUTO,64.761
18,Kentucky,31.731,32.986,33.214,1,AUTO,32.64366667
18,Kentucky,56.125,59.516,57.352,2,AUTO,57.66433333
18,Kentucky,77.006,83.83,77.673,3,AUTO,79.503
18,Kentucky,97.45,107.616,96.686,4,ES64,100.584
19,Louisiana,74.328,71.297,72.399,1,ES27,72.67466667
19,Louisiana,162.84,152.863,153.196,2,ES27,156.2996667
19,Louisiana,266.084,243.25,241.185,3,ES64,250.173
19,Louisiana,361.03,323.512,318.994,4,ES64,334.512
20,Maine,11.356,10.957,10.966,1,ES27,11.093
20,Maine,17.804,17.033,17.032,2,ES64,17.28966667
20,Maine,23.217,22.208,22.262,3,ES27,22.56233333
20,Maine,29.43,28.218,28.141,4,ES64,28.59633333
21,Maryland,36.79,43.173,42.036,1,AUTO,40.66633333
21,Maryland,64.869,96.437,77.667,2,AUTO,79.65766667
21,Maryland,89.551,145.531,104.078,3,AUTO,113.0533333
21,Maryland,114.723,391.655,156.414,4,AUTO,220.9306667
22,Massachusetts,33.343,33.815,34.872,1,AUTO,34.01
22,Massachusetts,67.316,66.656,67.543,2,ES27,67.17166667
22,Massachusetts,105.826,103.498,104.428,3,ES27,104.584
22,Massachusetts,139.448,132.881,134.902,4,ES27,135.7436667
23,Michigan,30.646,30.243,30.646,1,ES27,30.51166667
23,Michigan,56.677,55.334,56.087,2,ES27,56.03266667
23,Michigan,81.16,78.223,79.357,3,ES27,79.58
23,Michigan,106.357,101.44,103.072,4,ES27,103.623
24,Minnesota,17.211,16.993,16.973,1,ES64,17.059
24,Minnesota,31.564,31.249,31.014,2,ES64,31.27566667
24,Minnesota,43.064,42.314,41.987,3,ES64,42.455
24,Minnesota,53.274,51.76,51.338,4,ES64,52.124
25,Mississippi,29.048,29.956,30.863,1,AUTO,29.95566667
25,Mississippi,69.624,70.01,70.806,2,AUTO,70.14666667
25,Mississippi,99.754,101.546,101.958,3,AUTO,101.086
25,Mississippi,132.489,131.732,131.444,4,ES64,131.8883333
26,Missouri,23.26,23.441,23.997,1,AUTO,23.566
26,Missouri,39.714,39.251,40.209,2,ES27,39.72466667
26,Missouri,52.22,54.433,54.076,3,AUTO,53.57633333
26,Missouri,65.206,70.442,69.791,4,AUTO,68.47966667
27,Montana,5.198,5.186,5.191,1,ES27,5.191666667
27,Montana,9.138,9.086,9.095,2,ES27,9.106333333
27,Montana,12.192,12.073,12.024,3,ES64,12.09633333
27,Montana,15.117,14.947,14.864,4,ES64,14.976
28,Nebraska,18.459,18.223,18.412,1,ES27,18.36466667
28,Nebraska,30.734,30.696,30.56,2,ES64,30.66333333
28,Nebraska,42.106,41.325,40.964,3,ES64,41.465
28,Nebraska,53.806,51.711,51.423,4,ES64,52.31333333
29,Nevada,15.585,15.736,15.959,1,AUTO,15.76
29,Nevada,27.728,27.537,27.442,2,ES64,27.569
29,Nevada,36.274,35.738,34.826,3,ES64,35.61266667
29,Nevada,44.44,43.61,42.004,4,ES64,43.35133333
30,New Hampshire,3.055,3.03,3.069,1,ES27,3.051333333
30,New Hampshire,5.784,5.735,5.693,2,ES64,5.737333333
30,New Hampshire,8.024,7.969,7.844,3,ES64,7.945666667
30,New Hampshire,9.919,10.18,10.06,4,AUTO,10.053
31,New Jersey,41.09,40.526,40.853,1,ES27,40.823
31,New Jersey,78.049,76.728,77.107,2,ES27,77.29466667
31,New Jersey,121.617,119.554,120.192,3,ES27,120.4543333
31,New Jersey,158.916,156.649,157.859,4,ES27,157.808
32,New Mexico,29.369,28.602,28.8,1,ES27,28.92366667
32,New Mexico,64.073,58.875,59.813,2,ES27,60.92033333
32,New Mexico,98.599,88.208,90.616,3,ES27,92.47433333
32,New Mexico,129.482,113.74,117.481,4,ES27,120.2343333
33,New York,60.185,61.209,61.056,1,AUTO,60.81666667
33,New York,107.567,109.81,109.173,2,AUTO,108.85
33,New York,152.433,158.681,155.672,3,AUTO,155.5953333
33,New York,192.015,204.804,202.054,4,AUTO,199.6243333
34,North Carolina,75.969,77.997,76.001,1,AUTO,76.65566667
34,North Carolina,136.644,140.669,133.469,2,ES64,92.43766667
34,North Carolina,210.182,216.401,202.395,3,ES64,142.1943333
34,North Carolina,279.366,288.77,265.773,4,ES64,189.3786667
35,North Dakota,4.89,4.826,4.846,1,ES27,3.238666667
35,North Dakota,8.675,8.521,8.602,2,ES27,5.732
35,North Dakota,11.122,10.898,10.893,3,ES64,7.34
35,North Dakota,13.365,13.173,13.155,4,ES64,8.846
36,Ohio,21.023,21.537,21.755,1,AUTO,14.18666667
36,Ohio,43.541,43.277,43.201,2,ES64,28.93933333
36,Ohio,65.433,63.8,63.211,3,ES64,43.07766667
36,Ohio,87.142,84.37,82.932,4,ES64,57.17066667
37,Oklahoma,28.756,29.651,29.288,1,AUTO,19.469
37,Oklahoma,45.449,43.73,42.398,2,ES64,29.72633333
37,Oklahoma,58.763,55.523,52.869,3,ES64,38.09533333
37,Oklahoma,71.309,66.922,63.039,4,ES64,46.077
38,Oregon,38.592,39.571,40.025,1,AUTO,26.05433333
38,Oregon,64.755,65.002,64.601,2,ES64,43.25233333
38,Oregon,92.738,89.446,88.264,3,ES64,60.728
38,Oregon,129.043,121.478,123.297,4,ES27,83.507
39,Pennsylvania,43.955,44.578,45.557,1,AUTO,29.511
39,Pennsylvania,89.779,90.083,93.548,2,AUTO,59.954
39,Pennsylvania,134.747,132.998,139.394,3,ES27,89.24833333
39,Pennsylvania,178.852,173.965,183.645,4,ES27,117.6056667
40,Rhode Island,9.111,9.311,9.328,1,AUTO,6.140666667
40,Rhode Island,16.425,17.853,17.356,2,AUTO,11.426
40,Rhode Island,22.258,24.826,23.883,3,AUTO,15.69466667
40,Rhode Island,27.469,31.878,30.344,4,AUTO,19.78233333
41,South Carolina,23.104,22.77,22.845,1,ES27,15.29133333
41,South Carolina,47.582,45.428,44.659,2,ES64,31.00333333
41,South Carolina,72.573,69.305,66.862,3,ES64,47.29266667
41,South Carolina,93.33,89.704,85.481,4,ES64,61.01133333
42,South Dakota,12.534,12.336,12.521,1,ES27,8.29
42,South Dakota,21.359,20.681,21.451,2,ES27,14.01333333
42,South Dakota,26.731,25.552,27.716,3,ES27,17.42766667
42,South Dakota,33.701,31.78,34.865,4,ES27,21.827
43,Tennessee,41.735,39.473,40.194,1,ES27,27.06933333
43,Tennessee,76.177,68.249,68.814,2,ES27,48.142
43,Tennessee,114.353,99.818,101.924,3,ES27,71.39033333
43,Tennessee,146.914,126.436,129.425,4,ES27,91.11666667
44,Texas,82.868,80.255,81.307,1,ES27,54.37433333
44,Texas,183.513,176.49,175.467,2,ES64,120.001
44,Texas,257.447,249.417,239.448,3,ES64,168.9546667
44,Texas,332.244,316.432,304.054,4,ES64,216.2253333
45,Utah,56.588,54.858,55.959,1,ES27,37.14866667
45,Utah,85.787,80.962,81.64,2,ES27,55.583
45,Utah,107.413,99.127,99.802,3,ES27,68.84666667
45,Utah,128.056,116.849,118.858,4,ES27,81.635
46,Vermont,4.222,4.198,4.263,1,ES27,2.806666667
46,Vermont,8.33,8.264,8.081,2,ES64,5.531333333
46,Vermont,10.996,10.926,10.51,3,ES64,7.307333333
46,Vermont,13.681,13.831,13.149,4,ES64,9.170666667
47,Virginia,187.506,195.3,200.853,1,AUTO,127.602
47,Virginia,321.671,349.012,345.507,2,AUTO,223.561
47,Virginia,473.361,525.485,514.293,3,AUTO,332.9486667
47,Virginia,608.713,689.718,681.513,4,AUTO,432.8103333
48,Washington,16.841,16.618,17.051,1,ES27,11.153
48,Washington,32.869,31.835,32.509,2,ES27,21.568
48,Washington,45.758,44.874,45.831,3,ES27,30.21066667
48,Washington,56.956,56.973,57.938,4,ES27,37.97633333
49,West Virginia,18.785,19.112,19.424,1,AUTO,12.63233333
49,West Virginia,38.796,38.976,38.568,2,ES64,25.924
49,West Virginia,54.172,55.341,52.796,3,ES64,36.50433333
49,West Virginia,67.809,70.024,65.396,4,ES64,45.94433333
50,Wisconsin,17.1,17.053,16.946,1,ES64,11.38433333
50,Wisconsin,30.267,30.196,29.863,2,ES64,20.15433333
50,Wisconsin,41.01,41.24,40.64,3,ES64,27.41666667
50,Wisconsin,51.098,51.501,50.648,4,ES64,34.19966667
51,Wyoming,6.781,6.906,7.02,1,AUTO,4.562333333
51,Wyoming,13.135,13.084,13.252,2,ES27,8.739666667
51,Wyoming,17.885,17.435,17.465,3,ES27,11.77333333
51,Wyoming,22.277,21.535,21.572,4,ES27,14.604